,language,project,path,method,cyclomatic_complexity,date,nloc,proportion_nloc,start-line,end-line,commits,total_lines_add,total_lines_del,diff_lines,diff_lines_nloc,authors,lifetime,frequency,proportion_add_method,stars_project,source_files_project,commits_project,lifetime_project,first_CC,middle_1,middle_2,last_CC,category,mann_kendall
40,C#,ShareX,ShareX/ScreenRecordManager.cs,"ScreenRecordManager::StartRecording(ScreenRecordOutputoutputType,TaskSettingstaskSettings,ScreenRecordStartMethodstartMethod=ScreenRecordStartMethod.Region)",41,2020-08-11 20:24:58+03:00,193,0.7148148148148148,75.0,303.0,36,556,328,228,-1.6179597472528433,1,1689,0.021314387211367674,0.27942353883106485,13785,753,6344,2498,52,48,50,41,coordination,decreasing
41,C#,PowerShell,src/Microsoft.PowerShell.Commands.Management/commands/management/Process.cs,StartProcessCommand::BeginProcessing(),41,2020-08-11 14:01:47-07:00,193,0.09052532833020638,1817.0,2057.0,23,439,199,240,0.2427317571593852,11,1583,0.014529374605180037,0.2053838484546361,22095,1282,8300,2006,41,42,41,41,coordination,decreasing
42,C#,wpf,src/Microsoft.DotNet.Wpf/src/System.Xaml/System/Xaml/Parser/XamlPullParser.cs,XamlPullParser::P_ElementContent(),40,2020-08-11 14:11:32+00:00,146,0.15515409139213598,423.0,608.0,7,192,7,185,1.2671232876712328,3,148,0.0472972972972973,0.00778816199376947,4664,4286,2473,642,40,40,40,40,accessing,no trend
43,C#,PowerShell,src/System.Management.Automation/engine/hostifaces/LocalPipeline.cs,LocalPipeline::InvokeHelper(),40,2020-08-11 14:01:47-07:00,185,0.2138728323699422,279.0,533.0,11,287,33,254,1.1551664603454883,6,1011,0.010880316518298714,0.2053838484546361,22095,1282,8300,2006,40,40,40,40,messages,no trend
44,C#,PowerShell,src/System.Management.Automation/engine/Modules/ImportModuleCommand.cs,"ImportModuleCommand::ImportModule_LocallyViaName(ImportModuleOptionsimportModuleOptions,stringname)",40,2020-08-11 14:01:47-07:00,185,0.11548064918851435,615.0,842.0,13,297,70,227,0.9527493614335172,9,1583,0.0082122552116235,0.2053838484546361,22095,1282,8300,2006,58,54,40,40,IO,decreasing
45,C#,ShareX,ShareX.ScreenCaptureLib/Shapes/BaseShape.cs,BaseShape::OnNodeUpdate(),39,2020-08-11 20:24:58+03:00,117,0.2932330827067669,311.0,450.0,13,167,28,139,12.424693817097447,1,495,0.026262626262626262,0.4127301841473179,13785,753,6344,2498,16,18,37,39,coordination,increasing
46,C#,PowerShell,src/Microsoft.WSMan.Management/ConfigProvider.cs,WSManConfigProvider::HasChildItems(stringpath),39,2020-08-11 14:01:47-07:00,180,0.03696098562628337,349.0,568.0,13,246,27,219,1.4055555555555554,7,1477,0.008801624915368992,0.25822532402791626,22095,1282,8300,2006,39,39,39,39,condition,no trend
47,C#,PowerShell,src/Microsoft.WSMan.Management/WsManHelper.cs,"WSManHelper::CreateSessionObject(IWSManExwsmanObject,AuthenticationMechanismauthentication,SessionOptionsessionoption,PSCredentialcredential,stringconnectionString,stringcertificateThumbprint,boolusessl)",39,2020-08-11 14:01:47-07:00,174,0.1889250814332248,648.0,849.0,6,210,9,201,1.235632183908046,3,1009,0.005946481665014865,0.25822532402791626,22095,1282,8300,2006,39,39,39,39,creation,no trend
48,C#,AutoMapper,src/AutoMapper/ProfileMap.cs,"ProfileMap::ProfileMap(IProfileConfigurationprofile,IConfigurationconfiguration)",39,2020-07-07 10:00:44-05:00,37,0.16972477064220184,27.0,71.0,12,111,18,93,3.6239586276171636,1,1272,0.009433962264150943,0.6794201520912547,7489,564,3626,4208,36,38,37,39,collections,increasing
49,C#,PowerShell,src/System.Management.Automation/security/SecurityManager.cs,"PSAuthorizationManager::CheckPolicy(ExternalScriptInfoscript,PSHosthost,outExceptionreason)",38,2020-08-11 14:01:47-07:00,185,0.36779324055666,107.0,369.0,10,289,27,262,1.454054054054054,7,1006,0.009940357852882704,0.2053838484546361,22095,1282,8300,2006,39,39,38,38,validation,decreasing
50,C#,ILSpy,ICSharpCode.Decompiler/CSharp/OutputVisitor/CSharpAmbience.cs,"CSharpAmbience::ConvertSymbol(ISymbolsymbol,TokenWriterwriter,CSharpFormattingOptionsformattingPolicy)",38,2020-08-10 21:34:35+02:00,117,0.3926174496644295,49.0,172.0,8,139,16,123,1.8109557957384044,2,782,0.010230179028132991,0.7738704177323104,11047,1103,6159,4692,30,35,38,38,conversion,increasing
51,C#,ILSpy,SharpTreeView/SharpTreeView.cs,SharpTreeView::OnKeyDown(KeyEventArgse),37,2020-08-10 21:34:35+02:00,75,0.12355848434925865,257.0,332.0,6,89,14,75,6.437234437451713,2,3346,0.0017931858936043035,0.2595907928388747,11047,1103,6159,4692,8,25,31,37,coordination,increasing
52,C#,PowerShell,src/System.Management.Automation/engine/Modules/TestModuleManifestCommand.cs,TestModuleManifestCommand::ProcessRecord(),37,2020-08-11 14:01:47-07:00,211,0.6317365269461078,56.0,293.0,18,302,65,237,0.8666075781413362,12,1583,0.011370814908401769,0.2053838484546361,22095,1282,8300,2006,35,36,43,37,processing,no trend
53,C#,PowerShell,src/System.Management.Automation/engine/remoting/fanin/WSManTransportManager.cs,"WSManClientSessionTransportManager::Initialize(UriconnectionUri,WSManConnectionInfoconnectionInfo)",37,2020-08-11 14:01:47-07:00,180,0.06517016654598118,1369.0,1618.0,11,280,31,249,1.9872416020671841,8,1583,0.0069488313329121925,0.2053838484546361,22095,1282,8300,2006,30,30,37,37,setup,increasing
54,C#,ILSpy,ICSharpCode.Decompiler/IL/InstructionOutputExtensions.cs,"InstructionOutputExtensions::WriteTo(thisEntityHandleentity,PEFilemodule,ITextOutputoutput,Metadata.GenericContextgenericContext,ILNameSyntaxsyntax=ILNameSyntax.Signature)",37,2020-08-10 21:34:35+02:00,204,0.6435331230283912,70.0,273.0,6,314,111,203,-0.08740540396780727,2,532,0.011278195488721804,0.8386615515771526,11047,1103,6159,4692,64,68,38,37,IO,decreasing
