,language,project,path,method,cyclomatic_complexity,date,nloc,proportion_nloc,start-line,end-line,commits,total_lines_add,total_lines_del,diff_lines,authors,lifetime,frequency,proportion_add_method,stars_project,source_files_project,commits_project,lifetime_project,first_CC,middle_1,middle_2,last_CC
732,JavaScript,node,tools/node_modules/babel-eslint/node_modules/lodash/split.js,"split(string,separator,limit)",12,2020-08-11 18:36:51-07:00,20,0.6896551724137931,31.0,50.0,7,64,7,57,3,693,0.010101010101010102,0.6097735399284863,72977,16379,31653,4195,1,12,12,12
733,JavaScript,three.js,examples/jsm/loaders/BVHLoader.js,readBvh(lines),6,2020-08-11 22:49:33+01:00,25,0.1179245283018868,74.0,128.0,4,98,42,56,2,1057,0.003784295175023652,0.6017395888244597,63402,1380,34991,3794,6,6,6,6
734,JavaScript,node,tools/node_modules/babel-eslint/node_modules/lodash/_baseAt.js,"baseAt(object,paths)",3,2020-08-11 18:36:51-07:00,10,0.8333333333333334,11.0,21.0,4,33,3,30,2,693,0.005772005772005772,0.6097735399284863,72977,16379,31653,4195,3,3,3,3
735,JavaScript,incubator-echarts,src/chart/treemap/helper.js,"retrieveTargetInfo(payload,seriesModel)",8,2020-08-05 17:02:10+08:00,18,0.4,22.0,40.0,4,66,10,56,2,724,0.0055248618784530384,0.3775624301155423,42860,643,5984,2683,7,8,8,8
736,JavaScript,prettier,src/language-css/printer-postcss.js,adjustNumbers(value),4,2020-08-12 07:06:46+08:00,9,0.009625668449197863,1048.0,1056.0,5,22,6,16,3,913,0.00547645125958379,0.19615099925980756,37678,3198,4672,1351,1,5,5,4
737,JavaScript,node,test/internet/test-dns.js,test_reverse_failure(done),2,2020-08-11 18:36:51-07:00,10,0.018832391713747645,612.0,631.0,5,23,4,19,5,1708,0.002927400468384075,0.4059594755661502,72977,16379,31653,4195,1,1,1,2
738,JavaScript,three.js,examples/js/loaders/TGALoader.js,"tgaGetImageDataGrey8bits(imageData,y_start,y_step,y_end,x_start,x_step,x_end,image)",3,2020-08-11 22:49:33+01:00,14,0.04307692307692308,288.0,309.0,7,54,32,22,1,1153,0.006071118820468344,0.39799683711122824,63402,1380,34991,3794,3,3,3,3
739,JavaScript,three.js,examples/jsm/effects/OutlineEffect.js,getOutlineMaterialFromCache(originalMaterial),2,2020-08-11 22:49:33+01:00,28,0.09655172413793103,191.0,572.0,11,464,85,379,3,1008,0.010912698412698412,0.665524512387981,63402,1380,34991,3794,2,2,2,2
740,JavaScript,material-ui,docs/src/modules/utils/getDemoConfig.js,getLanguageConfig(demoData),3,2020-08-11 20:07:48+02:00,10,0.1020408163265306,66.0,75.0,4,13,4,9,3,48,0.08333333333333333,0.7445054945054945,60977,8659,12597,2184,3,4,4,3
741,JavaScript,prettier,src/language-css/loc.js,replaceQuotesInInlineComments(text),39,2020-08-12 07:06:46+08:00,99,0.55,96.0,211.0,4,122,7,115,3,61,0.06557377049180328,0.8926720947446336,37678,3198,4672,1351,38,38,38,39
